Net_ID,Augur_Latency (ms),WhiteBox_Profiler_Latency (ms),Accuracy (%),Augur_Energy (pJ),WhiteBox_Profiler_Energy (pJ)
SuperNet_129,1.267772675,1.251760244,79.69750758,100040592,99665064
SuperNet_13,1.194871783,1.17820406,78.41541711,91175536,90635056
SuperNet_130,1.260860205,1.241078138,79.99168252,93304448,92551544
SuperNet_131,1.317173004,1.29999423,76.4997197,98871128,98685416
SuperNet_132,1.079168081,1.059708118,75.72179869,77492704,76678704
SuperNet_133,1.287350774,1.271586061,75.59301311,103378896,103288592
SuperNet_134,1.21520865,1.19932425,75.01942935,94597224,94181432
SuperNet_135,1.191323757,1.176522017,79.46897491,90020088,90084384
SuperNet_136,1.178333044,1.158536077,79.06791727,85411160,84631952
SuperNet_137,1.305591941,1.28977406,78.97264159,103199288,103055520
SuperNet_138,1.125585079,1.109412193,76.39369879,88941936,88451616
SuperNet_139,1.130511284,1.111148,77.96291021,79636160,78882896
SuperNet_14,1.254739523,1.238574147,77.08952895,95543104,95064712
SuperNet_140,1.244399071,1.227542162,76.65577088,91947360,91716560
SuperNet_141,1.334531784,1.315478206,77.53819553,102290752,101575960
SuperNet_142,1.219978571,1.204838037,76.65656911,91576992,91622344
SuperNet_143,1.177092433,1.157510281,76.30310328,91030960,90275432
SuperNet_144,1.30351615,1.287386179,77.88278781,98920360,98559120
SuperNet_145,1.217881918,1.202694058,77.29413279,91296600,91338272
SuperNet_146,1.214910507,1.197116137,77.09310883,94662848,94461984
SuperNet_147,1.328809261,1.310542107,77.33088838,106961536,106785264
SuperNet_148,1.17555356,1.156020164,75.51472424,82670920,81902608
SuperNet_149,1.236589789,1.21677804,76.77861175,93079008,92356168
SuperNet_15,1.128803849,1.114020109,77.46266792,85451040,85515288
SuperNet_150,1.138194323,1.120598078,77.59017417,79949776,79747552
SuperNet_151,1.163802505,1.150054216,76.4407658,90227840,90234608
SuperNet_152,1.337121367,1.321216106,76.95987624,108888384,109081000
SuperNet_153,1.283693671,1.269566178,76.25472484,99568448,99654216
SuperNet_154,1.244950056,1.226064205,76.88571686,88415808,87622144
SuperNet_155,1.296748638,1.277518034,75.56898425,95648768,94880656
SuperNet_156,1.195845604,1.178022146,77.41337921,83379776,83198576
SuperNet_157,1.23408103,1.217344165,75.31321646,93911472,93676384
SuperNet_158,1.28456521,1.270540237,79.76063317,97175232,97287528
SuperNet_159,1.265920043,1.248832226,76.92490428,94003400,93767344
SuperNet_16,1.21846509,1.200706124,75.6128388,93096048,92928272
SuperNet_160,1.178141713,1.160316229,77.99434436,90490176,90296944
SuperNet_161,1.269363165,1.252160192,78.61908654,94731376,94545520
SuperNet_162,1.297435045,1.280812144,75.90598076,107419264,107539872
SuperNet_163,1.376726389,1.358374119,78.00083182,111171856,111057200
SuperNet_164,1.314250827,1.293416023,76.95174379,106251584,105495264
SuperNet_165,1.199914455,1.18367219,77.20109739,92213120,91753344
SuperNet_166,1.258711815,1.241502047,78.30609931,93024784,92793696
SuperNet_167,1.266820192,1.249236226,78.7728011,94489384,94270496
SuperNet_168,1.330990314,1.312414169,76.03111887,98661888,97923392
SuperNet_169,1.287516236,1.26872611,75.2891917,96883736,96150320
SuperNet_17,1.276468039,1.260326147,75.42429705,96211360,95759856
SuperNet_170,1.342541218,1.323416114,79.74043222,99963424,99274344
SuperNet_171,1.122494936,1.106066108,78.47336444,80104832,79725072
SuperNet_172,1.217349291,1.199952126,75.92358042,90703752,90520040
SuperNet_173,1.37415719,1.35653007,78.51425309,109470072,109058896
SuperNet_174,1.323390484,1.302528143,77.90038504,102495040,101537008
SuperNet_175,1.135510921,1.118754029,78.28340167,82155968,81711008
SuperNet_176,1.273251057,1.256896019,79.41921917,95543080,95071656
SuperNet_177,1.262123346,1.244109988,76.64161788,93692960,93494352
SuperNet_178,1.308898926,1.291252136,78.3822615,106655664,106166944
SuperNet_179,1.165136814,1.148628116,79.96376612,88220720,87820424
SuperNet_18,1.290533543,1.273054123,79.29505977,97895856,97748208
SuperNet_180,1.100494385,1.081062078,76.72924714,78394784,77640184
SuperNet_181,1.284807444,1.26913619,78.17375334,97355576,96892728
SuperNet_182,1.211628199,1.197526217,78.44993873,91600264,91657760
SuperNet_183,1.228409767,1.210742235,77.90187059,95735736,95510000
SuperNet_184,1.255714417,1.237638235,76.72312737,95047072,94817552
SuperNet_185,1.317360997,1.300596118,77.69497108,108291096,108465736
SuperNet_186,1.29940486,1.283724189,79.74266443,101008800,100569952
SuperNet_187,1.342788339,1.325526118,78.84115539,106393680,105712048
SuperNet_188,1.181199431,1.166396141,76.35720561,91144992,91215104
SuperNet_189,1.304127574,1.287462115,77.14906692,108150128,108367624
SuperNet_19,1.202768445,1.186932206,76.39539939,94431216,93984768
SuperNet_190,1.283183575,1.266456246,75.16110826,98222960,97917984
SuperNet_191,1.186324477,1.172284126,78.06541347,93240568,93406704
SuperNet_192,1.176346302,1.156976223,78.11286542,93143008,92461408
SuperNet_193,1.321238875,1.302734137,79.5203231,104051952,103641032
SuperNet_194,1.242958546,1.226788163,79.48329932,96370008,95933680
SuperNet_195,1.226956367,1.210102201,76.95488414,92526752,92282560
SuperNet_196,1.371742129,1.351208091,79.53216346,110081872,109337840
SuperNet_197,1.213254809,1.19850421,77.87451987,93373520,93547296
SuperNet_198,1.117224932,1.10049212,75.3155387,80821992,80324480
SuperNet_199,1.201484561,1.185262084,77.06092695,90795864,90309592
SuperNet_2,1.218758821,1.202516198,79.05167643,94665856,94235136
SuperNet_20,1.304493785,1.28412807,79.07755603,103262240,102373120
SuperNet_200,1.227035522,1.210016131,77.68567212,94605944,94237936
SuperNet_201,1.284598231,1.266762018,79.95059202,103493184,102818496
SuperNet_202,1.222113729,1.206276178,79.56534821,92429272,91989504
SuperNet_203,1.351754069,1.334324121,76.36309725,98888224,98754208
SuperNet_204,1.332685113,1.312356234,76.08245383,108372712,107656992
SuperNet_205,1.234521151,1.218106031,76.81101517,92523752,92041128
SuperNet_206,1.29871583,1.279520035,77.01792615,95795136,95055424
SuperNet_207,1.292869329,1.276138067,76.48227821,98767280,98331128
SuperNet_208,1.302283287,1.283504009,79.35913228,96827184,96080704
SuperNet_209,1.197548866,1.180534124,75.85393061,88533448,88291488
SuperNet_21,1.224944353,1.205034018,75.36677754,90110672,89333040
SuperNet_210,1.331810236,1.313366175,79.19129792,108273088,108094064
SuperNet_211,1.159551024,1.14522028,77.50300619,90537896,90586288
SuperNet_212,1.182091236,1.163070202,77.1394314,83821280,83089312
SuperNet_213,1.268665314,1.251926184,76.31651618,92764048,92533648
SuperNet_214,1.20437789,1.18960011,75.18295945,95669232,95791136
SuperNet_215,1.228851318,1.209118128,76.61260238,94757416,94025712
SuperNet_216,1.173807621,1.156112075,76.65752939,82605936,82432752
SuperNet_217,1.168221474,1.150674224,76.67060428,88255272,88027912
SuperNet_218,1.238434911,1.222874165,76.71355522,94376096,93941168
SuperNet_219,1.301705718,1.284922123,75.03471397,105081312,104448600
SuperNet_22,1.314175725,1.293382049,78.19981865,102917592,101990992
SuperNet_220,1.227658749,1.207878113,79.34279812,91085600,90346784
SuperNet_221,1.305381536,1.291024089,77.19913994,99976384,100153528
SuperNet_222,1.26650095,1.247198224,75.41565239,98335232,97578736
SuperNet_223,1.211766362,1.19353807,79.02360192,90223680,89983672
SuperNet_224,1.24306488,1.225378156,78.10416884,96986696,96827696
SuperNet_225,1.182693005,1.165718079,77.49448151,92191888,91778288
SuperNet_226,1.235999584,1.215784073,75.46904301,91573800,90802928
SuperNet_227,1.141072631,1.124916077,77.17684785,82164208,81731224
SuperNet_228,1.264140844,1.244980097,79.47096096,94923416,94137528
SuperNet_229,1.269644976,1.252372146,79.76904509,94703456,94485608
SuperNet_23,1.24613142,1.231428146,78.13745712,88408088,88523136
SuperNet_230,1.276945829,1.260224223,78.9453715,98461024,98224752
SuperNet_231,1.231629252,1.211852193,79.63983217,93412784,92647984
SuperNet_232,1.261406183,1.242446184,75.84163036,93581952,92774616
SuperNet_233,1.116394758,1.102444172,75.54432743,79436968,79525840
SuperNet_234,1.146685123,1.130250216,79.11972235,90322752,89880240
SuperNet_235,1.259670973,1.245308161,77.49512848,95294584,95322752
SuperNet_236,1.164706349,1.150356174,79.15767396,91929008,91947456
SuperNet_237,1.166574597,1.14918828,78.35459019,90341264,90107936
SuperNet_238,1.196481943,1.179158211,75.5974268,93722160,93507896
SuperNet_239,1.132382989,1.114354134,76.83995498,81829536,81574320
SuperNet_24,1.337625742,1.316906095,77.32629904,105968800,105237600
SuperNet_240,1.209069133,1.19514823,77.92754216,95303488,95350328
SuperNet_241,1.202547431,1.183074117,76.66859364,93187312,92447824
SuperNet_242,1.191648126,1.1770401,77.54280157,91915608,92038432
SuperNet_243,1.150549412,1.136222124,80.11789021,91242504,91271768
SuperNet_244,1.193970919,1.177384138,80.1439779,93818160,93469440
SuperNet_245,1.124231458,1.10472405,79.23924405,79786112,79081480
SuperNet_246,1.402003884,1.38370204,77.97845016,107916576,107506352
SuperNet_247,1.166319609,1.149806142,77.21362221,90290840,89861912
SuperNet_248,1.162894964,1.143338203,75.08691117,80775088,80021776
SuperNet_249,1.175528765,1.155896187,78.16219979,83854864,83119200
SuperNet_25,1.238418579,1.219296217,79.65189853,94683424,93921808
SuperNet_26,1.241837502,1.223950148,80.03158019,92151856,91921344
SuperNet_27,1.268039346,1.247748137,75.5817755,102629600,101887600
SuperNet_28,1.251273394,1.234646082,77.98324902,94455320,93971472
SuperNet_29,1.21378684,1.195520163,76.03364822,92962592,92752624
SuperNet_3,1.202560067,1.187448025,79.94904535,92463328,92540680
SuperNet_30,1.190209985,1.173734188,76.13847582,91873624,91652656
SuperNet_31,1.220923662,1.205292106,79.32141344,95386064,94920136
SuperNet_32,1.231897354,1.213824153,78.46874723,94240216,94112608
SuperNet_33,1.241006255,1.222438216,77.4669279,97035768,96326656
SuperNet_34,1.185632467,1.171042085,80.16124871,83501952,83542280
SuperNet_35,1.383167505,1.364634037,76.17188507,108591024,108416624
SuperNet_36,1.215624571,1.200474143,77.26023659,94007848,94104704
SuperNet_37,1.248545051,1.231698275,76.74290074,95425760,95272528
SuperNet_38,1.211863279,1.19792223,79.23759798,96025744,96132648
SuperNet_39,1.222973704,1.207368135,79.94643781,95543840,95079120
SuperNet_4,1.201396465,1.183020234,80.06985413,91646640,90896080
SuperNet_40,1.270960569,1.256462097,78.18585188,96550976,96627312
SuperNet_41,1.224318027,1.206794143,77.69499398,93229552,93019936
SuperNet_42,1.256329417,1.237622261,75.12979101,95598376,94842736
SuperNet_43,1.248613358,1.23053813,75.84996027,92333008,92092816
SuperNet_44,1.216929197,1.203050137,78.72615016,93751360,93803344
SuperNet_45,1.30687201,1.290740252,75.41521927,107691608,107876752
SuperNet_46,1.324670076,1.307806253,75.51696073,100524544,100275040
SuperNet_47,1.313920259,1.299950242,79.7835891,100921456,101016968
SuperNet_48,1.198108435,1.184234262,78.12474464,95256400,95330400
SuperNet_49,1.294411421,1.28001821,75.54087158,100301776,100436168
SuperNet_5,1.426869154,1.406918049,80.12605151,109472616,108549016
SuperNet_50,1.257758498,1.238964319,76.53434273,98742896,97984320
SuperNet_51,1.311017632,1.293314099,78.25026776,98858624,98681528
SuperNet_52,1.238052964,1.221402168,79.75943804,94774368,94354128
SuperNet_53,1.33891058,1.320874095,79.38763282,104787328,104371920
SuperNet_54,1.304606199,1.287926197,78.23114123,98614992,98413360
SuperNet_55,1.176427126,1.159258127,79.50270394,86662848,86208512
SuperNet_56,1.344218612,1.328902006,75.93266175,105816128,105677104
SuperNet_57,1.20135498,1.182926297,78.33067527,92515784,91739944
SuperNet_58,1.256458521,1.239348054,78.44037899,94502400,94017344
SuperNet_59,1.175505638,1.158466101,75.21251652,83402840,82975592
SuperNet_6,1.205644608,1.188698053,76.68487028,90226192,89775896
SuperNet_60,1.267309427,1.249744177,76.26014231,104454024,103791520
SuperNet_61,1.29370451,1.274018049,76.89091981,102736448,101722848
SuperNet_62,1.196205258,1.181380033,76.6001668,91386712,91470856
SuperNet_63,1.21405983,1.199798226,79.33581461,94454920,94536768
SuperNet_64,1.297526598,1.278888226,78.01395792,98765616,97998232
SuperNet_65,1.228130817,1.211664081,77.77504001,94013104,93576880
SuperNet_66,1.272338033,1.254992008,75.66297447,88330928,88109760
SuperNet_67,1.213649273,1.196356177,75.69630738,87509600,87295424
SuperNet_68,1.287494183,1.266490102,77.68925747,104788480,104024000
SuperNet_69,1.36092484,1.342396021,78.06052634,107257760,106890256
SuperNet_7,1.374717712,1.359142065,77.25667945,109865296,109815104
SuperNet_70,1.229020834,1.211198211,78.19851012,93291192,93025936
SuperNet_71,1.120029926,1.10218811,77.27809493,80929808,80680240
SuperNet_72,1.314463854,1.295166135,78.9294336,98930704,98182784
SuperNet_73,1.231763244,1.216738105,78.38710695,93387048,93461200
SuperNet_74,1.257589221,1.241662264,77.02358831,97583496,97125392
SuperNet_75,1.316265702,1.29975009,75.40306199,100123328,99705952
SuperNet_76,1.232088804,1.2175982,79.66659741,94666224,94806784
SuperNet_77,1.219071627,1.20237422,79.22388972,97218912,96828264
SuperNet_78,1.225618005,1.211186051,76.58441779,87407976,87521656
SuperNet_79,1.241389275,1.222158194,79.02906069,93514128,92780192
SuperNet_8,1.265966892,1.251752138,80.13462049,97474384,97558472
SuperNet_80,1.219789624,1.20004797,79.39576669,91615856,90865776
SuperNet_81,1.251646519,1.236082077,79.87285377,96005296,96153488
SuperNet_82,1.279362202,1.25812614,75.56014979,103589968,102840168
SuperNet_83,1.264505029,1.247164011,77.25669677,96400192,95962800
SuperNet_84,1.234062672,1.21997416,75.49632046,92245152,92322704
SuperNet_85,1.216225505,1.202464342,79.98468257,95906576,96067992
SuperNet_86,1.287184477,1.266204119,78.76399203,105184960,104404024
SuperNet_87,1.240171671,1.22088623,79.27325194,92810536,92037384
SuperNet_88,1.258935094,1.244114161,78.46036942,94923320,94996664
SuperNet_89,1.18299222,1.165670156,79.0914817,91362928,91055824
SuperNet_9,1.282444358,1.264431953,78.3609413,104311568,103962352
SuperNet_90,1.205545187,1.187976122,78.62541842,92662696,92461552
SuperNet_91,1.314850807,1.296386242,75.39014181,101543888,100844176
SuperNet_92,1.259970427,1.242078066,80.14468274,93598440,93399760
SuperNet_93,1.208020329,1.188728333,75.59094173,92605360,91903888
SuperNet_94,1.387773395,1.369318128,79.28253221,108112264,107704232
SuperNet_95,1.332052469,1.31461215,78.21171299,110424312,110018032
SuperNet_96,1.211266756,1.19116807,78.92235555,90545696,89768304
SuperNet_97,1.318710566,1.301224113,76.56067307,98008448,97813584
SuperNet_98,1.237362623,1.22066009,76.36001185,103401344,103590016
SuperNet_99,1.151481628,1.135082245,79.03147053,89921568,89496816
